# turn             x            px             y            py             z            pz   track state
   126   2.35397E-05  -5.14435E-06   0.00000E+00   0.00000E+00  -1.57565E-04   1.70000E-02            -9
   127   5.47764E-05   3.03326E-07   0.00000E+00   0.00000E+00  -1.58807E-04   1.70000E-02            -9
   128   2.04010E-05   5.02417E-06   0.00000E+00   0.00000E+00  -1.60051E-04   1.70000E-02            -9
   129   2.82754E-06  -2.30025E-06   0.00000E+00   0.00000E+00  -1.61336E-04   1.70000E-02            -9
   130   4.41758E-05  -4.10842E-06   0.00000E+00   0.00000E+00  -1.62605E-04   1.70000E-02            -9
   131   4.53299E-05   3.92955E-06   0.00000E+00   0.00000E+00  -1.63834E-04   1.70000E-02            -9
   132   3.52274E-06   2.55021E-06   0.00000E+00   0.00000E+00  -1.65102E-04   1.70000E-02            -9
   133   1.89712E-05  -4.94476E-06   0.00000E+00   0.00000E+00  -1.66387E-04   1.70000E-02            -9
   134   5.46488E-05  -5.84593E-07   0.00000E+00   0.00000E+00  -1.67633E-04   1.70000E-02            -9
   135   2.50203E-05   5.17637E-06   0.00000E+00   0.00000E+00  -1.68873E-04   1.70000E-02            -9
   136   1.12088E-06  -1.47193E-06   0.00000E+00   0.00000E+00  -1.70156E-04   1.70000E-02            -9
   137   4.02332E-05  -4.59028E-06   0.00000E+00   0.00000E+00  -1.71429E-04   1.70000E-02            -9
   138   4.86041E-05   3.29301E-06   0.00000E+00   0.00000E+00  -1.72659E-04   1.70000E-02            -9
   139   6.16307E-06   3.28489E-06   0.00000E+00   0.00000E+00  -1.73922E-04   1.70000E-02            -9
   140   1.46498E-05  -4.60036E-06   0.00000E+00   0.00000E+00  -1.75208E-04   1.70000E-02            -9
   141   5.37237E-05  -1.45544E-06   0.00000E+00   0.00000E+00  -1.76459E-04   1.70000E-02            -9
   142   2.97098E-05   5.17704E-06   0.00000E+00   0.00000E+00  -1.77695E-04   1.70000E-02            -9
   143   1.83313E-07  -6.00451E-07   0.00000E+00   0.00000E+00  -1.78976E-04   1.70000E-02            -9
   144   3.59155E-05  -4.93793E-06   0.00000E+00   0.00000E+00  -1.80252E-04   1.70000E-02            -9
   145   5.12579E-05   2.56025E-06   0.00000E+00   0.00000E+00  -1.81485E-04   1.70000E-02            -9
   146   9.42513E-06   3.92327E-06   0.00000E+00   0.00000E+00  -1.82742E-04   1.70000E-02            -9
   147   1.07020E-05  -4.12119E-06   0.00000E+00   0.00000E+00  -1.84029E-04   1.70000E-02            -9
   148   5.20282E-05  -2.28377E-06   0.00000E+00   0.00000E+00  -1.85285E-04   1.70000E-02            -9
   149   3.43322E-05   5.02622E-06   0.00000E+00   0.00000E+00  -1.86518E-04   1.70000E-02            -9
   150   4.22497E-08   2.88639E-07   0.00000E+00   0.00000E+00  -1.87796E-04   1.70000E-02            -9
   151   3.13490E-05  -5.14116E-06   0.00000E+00   0.00000E+00  -1.89075E-04   1.70000E-02            -9
   152   5.32135E-05   1.75269E-06   0.00000E+00   0.00000E+00  -1.90310E-04   1.70000E-02            -9
   153   1.32135E-05   4.44667E-06   0.00000E+00   0.00000E+00  -1.91563E-04   1.70000E-02            -9
   154   7.24325E-06  -3.52126E-06   0.00000E+00   0.00000E+00  -1.92849E-04   1.70000E-02            -9
   155   4.96120E-05  -3.04539E-06   0.00000E+00   0.00000E+00  -1.94110E-04   1.70000E-02            -9
   156   3.87522E-05   4.72838E-06   0.00000E+00   0.00000E+00  -1.95341E-04   1.70000E-02            -9
   157   7.01810E-07   1.16926E-06   0.00000E+00   0.00000E+00  -1.96616E-04   1.70000E-02            -9
   158   2.66675E-05  -5.19397E-06   0.00000E+00   0.00000E+00  -1.97898E-04   1.70000E-02            -9
   159   5.44137E-05   8.93934E-07   0.00000E+00   0.00000E+00  -1.99136E-04   1.70000E-02            -9
   160   1.74175E-05   4.83979E-06   0.00000E+00   0.00000E+00  -2.00384E-04   1.70000E-02            -9
   161   4.37462E-06  -2.81810E-06   0.00000E+00   0.00000E+00  -2.01670E-04   1.70000E-02            -9
   162   4.65458E-05  -3.71803E-06   0.00000E+00   0.00000E+00  -2.02935E-04   1.70000E-02            -9
   163   4.28404E-05   4.29227E-06   0.00000E+00   0.00000E+00  -2.04165E-04   1.70000E-02            -9
   164   2.14272E-06   2.01560E-06   0.00000E+00   0.00000E+00  -2.05436E-04   1.70000E-02            -9
   165   2.20080E-05  -5.09475E-06   0.00000E+00   0.00000E+00  -2.06720E-04   1.70000E-02            -9
   166   5.48232E-05   9.07022E-09   0.00000E+00   0.00000E+00  -2.07963E-04   1.70000E-02            -9
   167   2.19141E-05   5.09116E-06   0.00000E+00   0.00000E+00  -2.09205E-04   1.70000E-02            -9
